name,E_gap,M,A,R1,R2,R3,sLi,ssBe,ssssBe,ssBH,sssB,ssssB,sCH3,dCH2,ssCH2,tCH,dsCH,aaCH,sssCH,ddC,tsC,dssC,aasC,aaaC,ssssC,sNH3,sNH2,ssNH2,dNH,ssNH,aaNH,tN,sssNH,dsN,aaN,sssN,ddsN,aasN,ssssN,sOH,dO,ssO,aaO,sF,sSiH3,ssSiH2,sssSiH,ssssSi,sPH2,ssPH,sssP,dsssP,sssssP,sSH,dS,ssS,aaS,dssS,ddssS,sCl,sGeH3,ssGeH2,sssGeH,ssssGe,sAsH2,ssAsH,sssAs,sssdAs,sssssAs,sSeH,dSe,ssSe,aaSe,dssSe,ddssSe,sBr,sSnH3,ssSnH2,sssSnH,ssssSn,sI,sPbH3,ssPbH2,sssPbH,ssssPb,Rot_A,ZnP,TiOP,TiO2RP,FZnP,FH2P,FTiOP,FTiO2RP,H2P
C80H62N6O5Ti,3.636425391,TiOP,EthynPhDA,TPA,DTBP,TPA,0,0,0,0,0,0,13.56536544,0,0,0,0,85.70040914,0,0,6.51844144,-2.532778033,14.21439212,5.774568477,-0.352251434,0,0,0,0,0,7.731688721,0,0,0,11.16095467,4.469154037,0,0,0,20.17967181,24.73705028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C87H66N6O7Ti,3.428983936,TiO2RP,EthynPhDA,TPA,DTBP,TPA,0,0,0,0,0,0,13.56536544,0,0,0,0,85.70040914,0,0,6.51844144,-2.532778033,14.21439212,5.774568477,-0.352251434,0,0,0,0,0,7.731688721,0,0,0,11.16095467,4.469154037,0,0,0,20.17967181,24.73705028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C80H54F8N6O5Ti,3.362928451,FTiOP,EthynPhDA,TPA,DTBP,TPA,0,0,0,0,0,0,13.56536544,0,0,0,0,85.70040914,0,0,6.51844144,-2.532778033,14.21439212,5.774568477,-0.352251434,0,0,0,0,0,7.731688721,0,0,0,11.16095467,4.469154037,0,0,0,20.17967181,24.73705028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C80H62N6O4Zn,3.740774552,ZnP,EthynPhDA,TPA,DTBP,TPA,0,0,0,0,0,0,13.56536544,0,0,0,0,85.70040914,0,0,6.51844144,-2.532778033,14.21439212,5.774568477,-0.352251434,0,0,0,0,0,7.731688721,0,0,0,11.16095467,4.469154037,0,0,0,20.17967181,24.73705028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C80H54F8N6O4Zn,3.473929549,FZnP,EthynPhDA,TPA,DTBP,TPA,0,0,0,0,0,0,13.56536544,0,0,0,0,85.70040914,0,0,6.51844144,-2.532778033,14.21439212,5.774568477,-0.352251434,0,0,0,0,0,7.731688721,0,0,0,11.16095467,4.469154037,0,0,0,20.17967181,24.73705028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
C84H56N8O2S,3.23204504,H2P,EthynThPCyanoAcryl,TPA,TPA,TPA,0,0,0,0,0,0,0,0,0,0,1.368568384,108.7081703,0,0,8.702511685,-1.650519036,16.57466303,6.106130777,0,0,0,0,0,0,7.791709572,9.589655675,0,0,11.20868376,6.768688832,0,0,0,9.674794564,11.85418427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302758214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C84H54N8O3STi,3.19448614,TiOP,EthynThPCyanoAcryl,TPA,TPA,TPA,0,0,0,0,0,0,0,0,0,0,1.368568384,108.7081703,0,0,8.702511685,-1.650519036,16.57466303,6.106130777,0,0,0,0,0,0,7.791709572,9.589655675,0,0,11.20868376,6.768688832,0,0,0,9.674794564,11.85418427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302758214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C91H58N8O5STi,3.030270783,TiO2RP,EthynThPCyanoAcryl,TPA,TPA,TPA,0,0,0,0,0,0,0,0,0,0,1.368568384,108.7081703,0,0,8.702511685,-1.650519036,16.57466303,6.106130777,0,0,0,0,0,0,7.791709572,9.589655675,0,0,11.20868376,6.768688832,0,0,0,9.674794564,11.85418427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302758214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C84H46F8N8O3STi,2.88532133,FTiOP,EthynThPCyanoAcryl,TPA,TPA,TPA,0,0,0,0,0,0,0,0,0,0,1.368568384,108.7081703,0,0,8.702511685,-1.650519036,16.57466303,6.106130777,0,0,0,0,0,0,7.791709572,9.589655675,0,0,11.20868376,6.768688832,0,0,0,9.674794564,11.85418427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302758214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C84H54N8O2SZn,3.251765461,ZnP,EthynThPCyanoAcryl,TPA,TPA,TPA,0,0,0,0,0,0,0,0,0,0,1.368568384,108.7081703,0,0,8.702511685,-1.650519036,16.57466303,6.106130777,0,0,0,0,0,0,7.791709572,9.589655675,0,0,11.20868376,6.768688832,0,0,0,9.674794564,11.85418427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.302758214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
